
> frontend@0.1.0 dev:frontend
> node scripts/run-frontend-when-ready.js

[frontend] All backend services are ready. Starting Next.js.
▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.32.1:3000
- Environments: .env.local, .env
✓ Ready in 989ms

○ Compiling / ...
 GET /category/6?subcategory=99 200 in 556ms (next.js: 215ms, application-code: 341ms)
 GET /category/6?subcategory=99 200 in 382ms (next.js: 9ms, application-code: 374ms)
 GET /category/6?subcategory=99 200 in 116ms (next.js: 9ms, application-code: 107ms)
 GET /category/6?subcategory=99 200 in 356ms (next.js: 15ms, application-code: 341ms)
 GET /category/6?subcategory=99 200 in 432ms (next.js: 9ms, application-code: 423ms)
 GET /category/6?subcategory=99 200 in 327ms (next.js: 9ms, application-code: 318ms)
 GET /category/6?subcategory=99 200 in 370ms (next.js: 18ms, application-code: 352ms)
 GET /category/6?subcategory=99 200 in 103ms (next.js: 9ms, application-code: 94ms)
 GET /category/6?subcategory=99 200 in 355ms (next.js: 10ms, application-code: 344ms)
 GET /category/6?subcategory=99 200 in 139ms (next.js: 23ms, application-code: 116ms)
 GET /category/6?subcategory=99 200 in 334ms (next.js: 8ms, application-code: 325ms)
 GET /category/6?subcategory=99 200 in 786ms (next.js: 12ms, application-code: 774ms)
 GET /category/6?subcategory=99 200 in 435ms (next.js: 28ms, application-code: 407ms)
 GET /category/6?subcategory=99 200 in 522ms (next.js: 10ms, application-code: 512ms)
 GET /category/6?subcategory=99 200 in 544ms (next.js: 11ms, application-code: 533ms)
 GET /category/6?subcategory=99 200 in 209ms (next.js: 21ms, application-code: 188ms)
 GET /category/6?subcategory=99 200 in 414ms (next.js: 10ms, application-code: 404ms)
 GET /category/6?subcategory=99 200 in 410ms (next.js: 12ms, application-code: 399ms)
 GET /category/6?subcategory=99 200 in 470ms (next.js: 10ms, application-code: 460ms)
 GET /category/6?subcategory=99 200 in 549ms (next.js: 28ms, application-code: 521ms)
 GET /category/6?subcategory=99 200 in 203ms (next.js: 15ms, application-code: 187ms)
 GET /category/6?subcategory=99 200 in 407ms (next.js: 10ms, application-code: 397ms)
 GET /category/6?subcategory=99 200 in 460ms (next.js: 28ms, application-code: 432ms)
 GET /category/6?subcategory=99 200 in 129ms (next.js: 11ms, application-code: 119ms)
 GET /category/6?subcategory=99 200 in 389ms (next.js: 10ms, application-code: 379ms)
 GET /category/6?subcategory=99 200 in 438ms (next.js: 24ms, application-code: 414ms)
 GET /category/6?subcategory=99 200 in 143ms (next.js: 12ms, application-code: 132ms)
 GET /category/6?subcategory=99 200 in 402ms (next.js: 9ms, application-code: 392ms)
 GET /category/6?subcategory=99 200 in 521ms (next.js: 27ms, application-code: 494ms)
 GET /category/6?subcategory=99 200 in 148ms (next.js: 10ms, application-code: 138ms)
 GET /category/6?subcategory=99 200 in 452ms (next.js: 11ms, application-code: 441ms)
 GET /category/6?subcategory=99 200 in 466ms (next.js: 23ms, application-code: 442ms)
 GET /category/6?subcategory=99 200 in 330ms (next.js: 9ms, application-code: 321ms)
 GET /category/6?subcategory=99 200 in 84ms (next.js: 7ms, application-code: 76ms)
 GET /category/6?subcategory=99 200 in 318ms (next.js: 18ms, application-code: 300ms)
